名称,UP主,IP地址,视频摘要,网站,时间,观看次数,点赞数,收藏数,投币数,转发数
【原神HoYoFair】等级不是问题,No_Tables,马来西亚,技术力与想象力的完美结合！超专业水准的二创,https://b23.tv/BV19x4y1a7PB,2024.04.15,3862223,520079,320183,357921,61171
满足了甲方的癖好♥,逗比的雀巢,四川,欢迎来到欺诈师的世界,https://b23.tv/BV1iC411G7aN,2024.04.15,8800887,768459,179151,246614,32157
这个家没王妈真得散！！,七颗猩猩QKXX,湖北,就是这个味儿！,https://b23.tv/BV1AC41137Sr,2024.04.15,8193009,491035,97864,54456,14578
摆拍，编剧本，网红上热搜，短视频是怎样恶心全国的？【围炉夜话】,智能路障,湖北,剧本新闻的背后,https://b23.tv/BV1wx421U75n,2024.04.15,2673847,241291,68986,167916,16965
《原神》动画短片——「烬中歌」,原神,上海,成长即是逐渐挣开枷锁的过程,https://b23.tv/BV1xZ421Y7a1,2024.04.15,5837185,463136,173851,287969,125970
我那些被人当成AI生成的摄影作品……献丑了,雪鸢_P,天津,AI无法生成的美,https://b23.tv/BV1SJ4m1p7H1,2024.04.15,3737394,981293,234647,106618,15776
苏联人如何搞互联网？【神奇组织19】,小约翰可汗,江苏,神奇组织之OGAS系统,https://b23.tv/BV1jz421C7Js,2024.04.15,3676079,250445,55751,133002,12340
春笋做四道菜,阿蔡美食雕刻,福建,金牌大厨认真教你做菜,https://b23.tv/BV12q421c7ZL,2024.04.15,3008595,332550,42797,29982,5808
2位戴着金属头盔的「机器人」，拿下6座格莱美｜时髦音乐‘电台’,SENSTREET_,四川,解读传奇组合Daft Punk,https://b23.tv/BV1px4y187Kb,2024.04.15,4094917,438993,109886,9141,2713
《崩坏：星穹铁道》砂金角色PV——「金手指」,崩坏星穹铁道,上海,你永远无法定义一枚筹码的价值,https://b23.tv/BV12x421m7K9,2024.04.15,3538229,340571,119009,195010,56066
我好像整了个水滴，大家注意闪避！,皮卡悠,广东,制作《三体》里的超级光滑的水滴,https://b23.tv/BV1nZ421B7He,2024.04.15,3879518,134907,41468,19222,2588
小米SU7性能对决极氪007！谁更快？,极速拍档,广东,巅峰对决，到底谁快？,https://b23.tv/BV1jt42177xt,2024.04.15,1942297,177077,24486,126972,10565
张镇辉台球正经教学【6个不太建议使用的技巧】18.0版本,张镇辉台球教学,广东,一个敢教，一个敢学,https://b23.tv/BV1Qx4y1Y7XU,2024.04.15,3983649,448849,48654,14249,21631
嬛嬛，今天是江南style噢,奶茶小肥仔,河南,四郎明天就拿格莱美（doge,https://b23.tv/BV1iZ421Y7P8,2024.04.15,2172677,446153,69332,72307,72640
论背着公司兼职与出轨的适配度,papi酱,北京,开放式雇佣关系！?,https://b23.tv/BV17E421K79u,2024.04.15,1692295,199618,13043,36489,18123
全网首发！UP主亲身实弹测试！特斯拉赛博皮卡到底防不放弹？,Upspeed盛嘉成,上海,Cybertruck硬核测试,https://b23.tv/BV11E421T7mx,2024.04.15,3839472,202096,95117,121269,10009
当我带老爸欣赏弱智吧语录，看完感觉我才是弱智,凌凌上将-,河北,加大药量！,https://b23.tv/BV1Mp421X7Wx,2024.04.15,3358218,349610,114543,51353,9589
编故事大王（3）,高斯Goh,上海,谁是脑洞大王？,https://b23.tv/BV11m411z7rx,2024.04.15,4518120,223648,103606,107107,5895
⚡我 在 5:20 睡 觉 13:14 准 时 起！⚡,潮汕好男人,广东,熟悉的鬼畜味又回来了,https://b23.tv/BV15M4m1Q7zN,2024.04.15,3271098,602224,182792,189781,32964
重生之我回到末日前建设末日地堡（一）,飞飞舰长,安徽,把末日重生爽文搬进现实,https://b23.tv/BV1Wt421E7B9,2024.04.15,1723681,205737,36616,48743,8483
带你一起体验没大没小@爱鼓捣的邢志磊,爱鼓捣的邢志磊,河南,UP主：带大家体验一下做老鼠的感觉,https://b23.tv/BV1W1421Z7eh,2024.04.15,6473741,578338,66141,24937,23090
