排名,视频名,作者,IP地址,摘要,观看网址,观看次数,点赞数,收藏数,投币数,转发数
1,这场【全球审美大降级】属实给我整混乱了……,塑料叉FOKU,上海,审美水平真的下降了吗？,https://b23.tv/BV1fc41167r3,8742184,405457,123983,71480,19713
2,朋友你们帮我看看问题到底出现在哪里？,口技小青年,江苏,京中有善口技者,https://b23.tv/BV1ju4y1j7jk,8509860,510769,111406,121786,132889
3,【硬核科普】从零开始认识主板,硬件茶谈,河北,从零认识主板,https://b23.tv/BV1xQ4y1b7JS,3263696,278761,233016,178647,15988
4,满足了甲方奇怪的癖好,逗比的雀巢,四川,省流：甲方的脸都气黑了,https://b23.tv/BV1BC4y1j7dr,11392038,595854,67552,88904,15389
5,最传奇的上古帝王 | 从被虐待，到君临天下！,木鱼水心,北京,从孤苦少年，到第一位平民天子，舜帝是如何改写命运的？,https://b23.tv/BV12H4y1q7bx,2554273,255313,74760,195347,5355
6,章~鱼~哥~来~咯~,老番茄,韩国,省流：《章鱼村》,https://b23.tv/BV1Hw411K7Fx,5261288,315121,97983,138995,12292
7,当北方人第一次在南方过冬,粤知一二,广东,北方和南方不是同一种冷,https://b23.tv/BV1Gj411J76q,7179103,444807,35650,9053,6585
8,《绝区零》比利角色展示 | 骑士登场！,绝区零,上海, 欢迎来到新艾利都！,https://b23.tv/BV1tN4y1m7d5,5696107,622627,94953,85374,45215
9,《原神》过场动画-「罪人的终幕」,原神,上海,神爱众人，芙门永存,https://b23.tv/BV1vu4y1b7Y9,3941012,304711,118552,201963,33733
10,探秘中国国宴！开国第一宴！10道国宴菜！都吃什么？,HOLA小测佬,西班牙,吃国宴是一种什么样的体验,https://b23.tv/BV1Dz4y1N7XT,6875150,431815,69108,96153,11693
11,第一次去拍网红写真 没想到要穿露背装 当场崩溃,假美食po主,英国,浪浪体验拍写真,https://b23.tv/BV1Rj411j7Fq,2986558,128225,15836,46300,5912
12,这十六分钟真的能讲完你那波澜壮阔的十年吗,一张照片LOL,上海,Faker的登神之路,https://b23.tv/BV12a4y1S7GR,3796090,239393,106912,230321,54169
13,"""Cheems，你枪里装的是珍珠软糖吗？""",一大筐会飞的草莓,广东,猫和老鼠出新版了？,https://b23.tv/BV1dw411N7VG,2403430,221483,49664,38292,9063
