全国编号,地区编号（旧）,地区编号（新）,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#252,#001,#001,木守宫,草,茂盛,轻装,林蜥宝可梦,0.5m,5.0kg,45,"['40', '45', '35', '65', '55', '70', '310']"
#253,#002,#002,森林蜥蜴,草,茂盛,轻装,林蜥宝可梦,0.9m,21.6kg,45,"['50', '65', '45', '85', '65', '95', '405']"
#254,#003,#003,蜥蜴王,草,茂盛,轻装,密林宝可梦,1.7m,52.2kg,45,"['70', '85', '65', '105', '85', '120', '530']"
#255,#004,#004,火稚鸡,火,猛火,加速,雏鸡宝可梦,0.4m,2.5kg,45,"['45', '60', '40', '70', '50', '45', '310']"
#256,#005,#005,力壮鸡,火/格斗,猛火,加速,幼鸡宝可梦,0.9m,19.5kg,45,"['60', '85', '60', '85', '60', '55', '405']"
#257,#006,#006,火焰鸡,火/格斗,猛火,加速,猛火宝可梦,1.9m,52.0kg,45,"['80', '120', '70', '110', '70', '80', '530']"
#258,#007,#007,水跃鱼,水,激流,湿气,沼鱼宝可梦,0.4m,7.6kg,45,"['50', '70', '50', '50', '50', '40', '310']"
#259,#008,#008,沼跃鱼,水/地面,激流,湿气,沼鱼宝可梦,0.7m,28.0kg,45,"['70', '85', '70', '60', '70', '50', '405']"
#260,#009,#009,巨沼怪,水/地面,激流,湿气,沼鱼宝可梦,1.5m,81.9kg,45,"['100', '110', '90', '85', '90', '60', '535']"
#261,#010,#010,土狼犬,惡,逃跑/飞毛腿,胆怯,紧咬宝可梦,0.5m,13.6kg,255,"['35', '55', '35', '30', '30', '35', '220']"
#262,#011,#011,大狼犬,惡,威吓/飞毛腿,自信过度,紧咬宝可梦,1.0m,37.0kg,127,"['70', '90', '70', '60', '60', '70', '420']"
#263,#012,#012,蛇纹熊,一般,捡拾/贪吃鬼,飞毛腿,豆狸宝可梦,0.4m,17.5kg,255,"['38', '30', '41', '30', '41', '60', '240']"
