全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0872,#001,雪吞虫,冰/虫,鳞粉,冰鳞粉,虫宝宝宝可梦,0.3m,3.8kg,190,"['30', '25', '35', '45', '30', '20', '185']"
#0873,#002,雪绒蛾,冰/虫,鳞粉,冰鳞粉,冰蛾宝可梦,1.3m,42.0kg,75,"['70', '65', '60', '125', '90', '65', '475']"
#0831,#003,毛辫羊,一般,逃跑/毛茸茸,防弹,绵羊宝可梦,0.6m,6.0kg,255,"['42', '40', '55', '40', '45', '48', '270']"
#0832,#004,毛毛角羊,一般,毛茸茸/不屈之心,防弹,绵羊宝可梦,1.3m,43.0kg,127,"['72', '80', '100', '60', '90', '88', '490']"
#0819,#005,贪心栗鼠,一般,颊囊,贪吃鬼,贪吃宝可梦,0.3m,2.5kg,255,"['70', '55', '55', '35', '35', '25', '275']"
#0820,#006,藏饱栗鼠,一般,颊囊,贪吃鬼,贪欲宝可梦,0.6m,6.0kg,90,"['120', '95', '95', '55', '75', '20', '460']"
#0220,#007,小山猪,冰/地面,雪隐/迟钝,厚脂肪,小猪宝可梦,0.4m,6.5kg,225,"['50', '50', '40', '30', '30', '50', '250']"
#0221,#008,长毛猪,冰/地面,雪隐/迟钝,厚脂肪,野猪宝可梦,1.1m,55.8kg,75,"['100', '100', '80', '60', '60', '50', '450']"
#0473,#009,象牙猪,冰/地面,雪隐/迟钝,厚脂肪,双牙宝可梦,2.5m,291.0kg,50,"['110', '130', '80', '70', '60', '80', '530']"
#0439,#010,魔尼尼,超能力/妖精,隔音/过滤,技术高手,默剧宝可梦,0.6m,13.0kg,145,"['20', '25', '45', '70', '90', '60', '310']"
#0122,#011,魔墙人偶,冰/超能力,隔音/过滤,技术高手,屏障宝可梦,1.3m,54.5kg,45,"['40', '45', '65', '100', '120', '90', '460']"
#0866,#012,踏冰人偶,冰/超能力,蹒跚/除障,冰冻之躯,喜剧演员宝可梦,1.5m,58.2kg,45,"['80', '85', '75', '110', '100', '70', '520']"
#0238,#013,迷唇娃,冰/超能力,迟钝/预知梦,湿润之躯,亲吻宝可梦,0.4m,6.0kg,45,"['45', '30', '15', '85', '65', '65', '305']"
#0124,#014,迷唇姐,冰/超能力,迟钝/预知梦,干燥皮肤,人形宝可梦,1.4m,40.6kg,45,"['65', '50', '35', '115', '95', '95', '455']"
#0239,#015,电击怪,电,静电,干劲,电气宝可梦,0.6m,23.5kg,45,"['45', '63', '37', '65', '55', '95', '360']"
#0125,#016,电击兽,电,静电,干劲,电击宝可梦,1.1m,30.0kg,45,"['65', '83', '57', '95', '85', '105', '490']"
#0466,#017,电击魔兽,电,电气引擎,干劲,雷电宝可梦,1.8m,138.6kg,30,"['75', '123', '67', '95', '85', '95', '540']"
#0240,#018,鸭嘴宝宝,火,火焰之躯,干劲,火种宝可梦,0.7m,21.4kg,45,"['45', '75', '37', '70', '55', '83', '365']"
#0126,#019,鸭嘴火兽,火,火焰之躯,干劲,吐火宝可梦,1.3m,44.5kg,45,"['65', '95', '57', '100', '85', '93', '495']"
#0467,#020,鸭嘴炎兽,火,火焰之躯,干劲,爆炎宝可梦,1.6m,68.0kg,30,"['75', '95', '67', '125', '95', '83', '540']"
#0531,#021,差不多娃娃,一般,再生力/治愈之心,笨拙,听力宝可梦,1.1m,31.0kg,255,"['103', '60', '86', '60', '86', '50', '445']"
#0582,#022,迷你冰,冰,冰冻之躯/雪隐,碎裂铠甲,新雪宝可梦,0.4m,5.7kg,255,"['36', '50', '50', '65', '60', '44', '305']"
#0583,#023,多多冰,冰,冰冻之躯/雪隐,碎裂铠甲,冰雪宝可梦,1.1m,41.0kg,120,"['51', '65', '65', '80', '75', '59', '395']"
#0584,#024,双倍多多冰,冰,冰冻之躯/降雪,碎裂铠甲,暴风雪宝可梦,1.3m,57.5kg,45,"['71', '95', '85', '110', '95', '79', '535']"
#0361,#025,雪童子,冰,冰冻之躯/精神力,心情不定,雪笠宝可梦,0.7m,16.8kg,190,"['50', '50', '50', '50', '50', '50', '300']"
#0362,#026,冰鬼护,冰,冰冻之躯/精神力,心情不定,脸面宝可梦,1.5m,256.5kg,75,"['80', '80', '80', '80', '80', '80', '480']"
#0478,#027,雪妖女,冰/幽灵,雪隐,诅咒之躯,雪国宝可梦,1.3m,26.6kg,75,"['70', '80', '70', '80', '70', '110', '480']"
#0215,#028,狃拉,恶/冰,锐利目光/精神力,顺手牵羊,钩爪宝可梦,0.9m,28.0kg,60,"['55', '95', '55', '35', '75', '115', '430']"
#0461,#029,玛狃拉,恶/冰,压迫感,顺手牵羊,钩爪宝可梦,1.1m,34.0kg,45,"['70', '120', '65', '45', '85', '125', '510']"
#0615,#030,几何雪花,冰,飘浮,,结晶宝可梦,1.1m,148.0kg,25,"['80', '50', '50', '95', '135', '105', '515']"
#0459,#031,雪笠怪,草/冰,降雪,隔音,树冰宝可梦,1.0m,50.5kg,120,"['60', '62', '50', '62', '60', '40', '334']"
