全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0810,#001,敲音猴,草,茂盛,青草制造者,小猴宝可梦,0.3m,5.0kg,45,"['50', '65', '50', '40', '40', '65', '310']"
#0811,#002,啪咚猴,草,茂盛,青草制造者,节拍宝可梦,0.7m,14.0kg,45,"['70', '85', '70', '55', '60', '80', '420']"
#0812,#003,轰擂金刚猩,草,茂盛,青草制造者,鼓手宝可梦,2.1m,90.0kg,45,"['100', '125', '90', '60', '70', '85', '530']"
#0813,#004,炎兔儿,火,猛火,自由者,兔子宝可梦,0.3m,4.5kg,45,"['50', '71', '40', '40', '40', '69', '310']"
#0814,#005,腾蹴小将,火,猛火,自由者,兔子宝可梦,0.6m,9.0kg,45,"['65', '86', '60', '55', '60', '94', '420']"
#0815,#006,闪焰王牌,火,猛火,自由者,前锋宝可梦,1.4m,33.0kg,45,"['80', '116', '75', '65', '75', '119', '530']"
#0816,#007,泪眼蜥,水,激流,狙击手,水蜥宝可梦,0.3m,4.0kg,45,"['50', '40', '40', '70', '40', '70', '310']"
#0817,#008,变涩蜥,水,激流,狙击手,水蜥宝可梦,0.7m,11.5kg,45,"['65', '60', '55', '95', '55', '90', '420']"
#0818,#009,千面避役,水,激流,狙击手,特工宝可梦,1.9m,45.2kg,45,"['70', '85', '65', '125', '65', '120', '530']"
#0824,#010,索侦虫,虫,虫之预感/复眼,心灵感应,幼虫宝可梦,0.4m,8.0kg,255,"['25', '20', '20', '25', '45', '45', '180']"
#0825,#011,天罩虫,虫/超能力,虫之预感/复眼,心灵感应,天线罩宝可梦,0.4m,19.5kg,120,"['50', '35', '80', '50', '90', '30', '335']"
#0826,#012,以欧路普,虫/超能力,虫之预感/察觉,心灵感应,七星宝可梦,0.4m,40.8kg,45,"['60', '45', '110', '80', '120', '90', '505']"
#0010,#013,绿毛虫,虫,鳞粉,逃跑,虫宝宝宝可梦,0.3m,2.9kg,255,"['45', '30', '35', '20', '20', '45', '195']"
#0011,#014,铁甲蛹,虫,蜕皮,,蛹宝可梦,0.7m,9.9kg,120,"['50', '20', '55', '25', '25', '30', '205']"
#0012,#015,巴大蝶,虫/飞行,复眼,有色眼镜,蝴蝶宝可梦,1.1m,32.0kg,45,"['60', '45', '50', '90', '80', '70', '395']"
#0736,#016,强颚鸡母虫,虫,虫之预感,,幼虫宝可梦,0.4m,4.4kg,255,"['47', '62', '45', '55', '45', '46', '300']"
#0737,#017,虫电宝,虫/电,蓄电池,,蓄电池宝可梦,0.5m,10.5kg,120,"['57', '82', '95', '55', '75', '36', '400']"
#0738,#018,锹农炮虫,虫/电,飘浮,,锹形虫宝可梦,1.5m,45.0kg,45,"['77', '70', '90', '145', '75', '43', '500']"
#0163,#019,咕咕,一般/飞行,锐利目光/不眠,有色眼镜,猫头鹰宝可梦,0.7m,21.2kg,255,"['60', '30', '30', '36', '56', '50', '262']"
#0164,#020,猫头夜鹰,一般/飞行,锐利目光/不眠,有色眼镜,猫头鹰宝可梦,1.6m,40.8kg,90,"['100', '50', '50', '86', '96', '70', '452']"
#0821,#021,稚山雀,飞行,锐利目光/紧张感,健壮胸肌,小鸟宝可梦,0.2m,1.8kg,255,"['38', '47', '35', '33', '35', '57', '245']"
