全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0001,#001,妙蛙种子,草/毒,茂盛,叶绿素,种子宝可梦,0.7m,6.9kg,45,"['45', '49', '49', '65', '65', '45', '318']"
#0002,#002,妙蛙草,草/毒,茂盛,叶绿素,种子宝可梦,1.0m,13.0kg,45,"['60', '62', '63', '80', '80', '60', '405']"
#0003,#003,妙蛙花,草/毒,茂盛,叶绿素,种子宝可梦,2.0m,100.0kg,45,"['80', '82', '83', '100', '100', '80', '525']"
#0004,#004,小火龙,火,猛火,太阳之力,蜥蜴宝可梦,0.6m,8.5kg,45,"['39', '52', '43', '60', '50', '65', '309']"
#0005,#005,火恐龙,火,猛火,太阳之力,火焰宝可梦,1.1m,19.0kg,45,"['58', '64', '58', '80', '65', '80', '405']"
#0006,#006,喷火龙,火/飞行,猛火,太阳之力,火焰宝可梦,1.7m,90.5kg,45,"['78', '84', '78', '109', '85', '100', '534']"
#0007,#007,杰尼龟,水,激流,雨盘,小龟宝可梦,0.5m,9.0kg,45,"['44', '48', '65', '50', '64', '43', '314']"
#0008,#008,卡咪龟,水,激流,雨盘,龟宝可梦,1.0m,22.5kg,45,"['59', '63', '80', '65', '80', '58', '405']"
#0009,#009,水箭龟,水,激流,雨盘,甲壳宝可梦,1.6m,85.5kg,45,"['79', '83', '100', '85', '105', '78', '530']"
#0010,#010,绿毛虫,虫,鳞粉,逃跑,虫宝宝宝可梦,0.3m,2.9kg,255,"['45', '30', '35', '20', '20', '45', '195']"
#0011,#011,铁甲蛹,虫,蜕皮,,蛹宝可梦,0.7m,9.9kg,120,"['50', '20', '55', '25', '25', '30', '205']"
#0012,#012,巴大蝶,虫/飞行,复眼,有色眼镜,蝴蝶宝可梦,1.1m,32.0kg,45,"['60', '45', '50', '90', '80', '70', '395']"
#0013,#013,独角虫,虫/毒,鳞粉,逃跑,毛毛虫宝可梦,0.3m,3.2kg,255,"['40', '35', '30', '20', '20', '50', '195']"
#0014,#014,铁壳蛹,虫/毒,蜕皮,,蛹宝可梦,0.6m,10.0kg,120,"['45', '25', '50', '25', '25', '35', '205']"
#0015,#015,大针蜂,虫/毒,虫之预感,狙击手,毒蜂宝可梦,1.0m,29.5kg,45,"['65', '90', '40', '45', '80', '75', '395']"
#0016,#016,波波,一般/飞行,蹒跚/锐利目光,健壮胸肌,小鸟宝可梦,0.3m,1.8kg,255,"['40', '45', '40', '35', '35', '56', '251']"
#0017,#017,比比鸟,一般/飞行,蹒跚/锐利目光,健壮胸肌,鸟宝可梦,1.1m,30.0kg,120,"['63', '60', '55', '50', '50', '71', '349']"
#0018,#018,大比鸟,一般/飞行,蹒跚/锐利目光,健壮胸肌,鸟宝可梦,1.5m,39.5kg,45,"['83', '80', '75', '70', '70', '101', '479']"
#0019,#019,小拉达,一般,逃跑/毅力,活力,鼠宝可梦,0.3m,3.5kg,255,"['30', '56', '35', '25', '35', '72', '253']"
#0020,#020,拉达,一般,逃跑/毅力,活力,鼠宝可梦,0.7m,18.5kg,127,"['55', '81', '60', '50', '70', '97', '413']"
#0021,#021,烈雀,一般/飞行,锐利目光,狙击手,小鸟宝可梦,0.3m,2.0kg,255,"['40', '60', '30', '31', '31', '70', '262']"
#0022,#022,大嘴雀,一般/飞行,锐利目光,狙击手,鸟嘴宝可梦,1.2m,38.0kg,90,"['65', '90', '65', '61', '61', '100', '442']"
#0023,#023,阿柏蛇,毒,威吓/蜕皮,紧张感,蛇宝可梦,2.0m,6.9kg,255,"['35', '60', '44', '40', '54', '55', '288']"
#0024,#024,阿柏怪,毒,威吓/蜕皮,紧张感,眼镜蛇宝可梦,3.5m,65.0kg,90,"['60', '95', '69', '65', '79', '80', '448']"
#0025,#025,皮卡丘,电,静电,避雷针,鼠宝可梦,0.4m,6.0kg,190,"['35', '55', '40', '50', '50', '90', '320']"
#0026,#026,雷丘,电,静电,避雷针,鼠宝可梦,0.8m,30.0kg,75,"['60', '90', '55', '90', '80', '110', '485']"
#0027,#027,穿山鼠,地面,沙隐,拨沙,鼠宝可梦,0.6m,12.0kg,255,"['50', '75', '85', '20', '30', '40', '300']"
#0028,#028,穿山王,地面,沙隐,拨沙,鼠宝可梦,1.0m,29.5kg,90,"['75', '100', '110', '45', '55', '65', '450']"
#0029,#029,尼多兰,毒,毒刺/斗争心,活力,毒针宝可梦,0.4m,7.0kg,235,"['55', '47', '52', '40', '40', '41', '275']"
#0030,#030,尼多娜,毒,毒刺/斗争心,活力,毒针宝可梦,0.8m,20.0kg,120,"['70', '62', '67', '55', '55', '56', '365']"
#0031,#031,尼多后,毒/地面,毒刺/斗争心,强行,钻锥宝可梦,1.3m,60.0kg,45,"['90', '92', '87', '75', '85', '76', '505']"
#0032,#032,尼多朗,毒,毒刺/斗争心,活力,毒针宝可梦,0.5m,9.0kg,235,"['46', '57', '40', '40', '40', '50', '273']"
#0033,#033,尼多力诺,毒,毒刺/斗争心,活力,毒针宝可梦,0.9m,19.5kg,120,"['61', '72', '57', '55', '55', '65', '365']"
#0034,#034,尼多王,毒/地面,毒刺/斗争心,强行,钻锥宝可梦,1.4m,62.0kg,45,"['81', '102', '77', '85', '75', '85', '505']"
#0035,#035,皮皮,妖精,迷人之躯/魔法防守,友情防守,妖精宝可梦,0.6m,7.5kg,150,"['70', '45', '48', '60', '65', '35', '323']"
#0036,#036,皮可西,妖精,迷人之躯/魔法防守,纯朴,妖精宝可梦,1.3m,40.0kg,25,"['95', '70', '73', '95', '90', '60', '483']"
#0037,#037,六尾,火,引火,日照,狐狸宝可梦,0.6m,9.9kg,190,"['38', '41', '40', '50', '65', '65', '299']"
#0038,#038,九尾,火,引火,日照,狐狸宝可梦,1.1m,19.9kg,75,"['73', '76', '75', '81', '100', '100', '505']"
#0039,#039,胖丁,一般/妖精,好胜/迷人之躯,友情防守,气球宝可梦,0.5m,5.5kg,170,"['115', '45', '20', '45', '25', '20', '270']"
#0040,#040,胖可丁,一般/妖精,好胜/迷人之躯,察觉,气球宝可梦,1.0m,12.0kg,50,"['140', '70', '45', '85', '50', '45', '435']"
#0041,#041,超音蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,0.8m,7.5kg,255,"['40', '45', '35', '30', '40', '55', '245']"
#0042,#042,大嘴蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.6m,55.0kg,90,"['75', '80', '70', '65', '75', '90', '455']"
#0043,#043,走路草,草/毒,叶绿素,逃跑,杂草宝可梦,0.5m,5.4kg,255,"['45', '50', '55', '75', '65', '30', '320']"
#0044,#044,臭臭花,草/毒,叶绿素,恶臭,杂草宝可梦,0.8m,8.6kg,120,"['60', '65', '70', '85', '75', '40', '395']"
#0045,#045,霸王花,草/毒,叶绿素,孢子,花宝可梦,1.2m,18.6kg,45,"['75', '80', '85', '110', '90', '50', '490']"
#0046,#046,派拉斯,虫/草,干燥皮肤/孢子,湿气,蘑菇宝可梦,0.3m,5.4kg,190,"['35', '70', '55', '45', '55', '25', '285']"
#0047,#047,派拉斯特,虫/草,干燥皮肤/孢子,湿气,蘑菇宝可梦,1.0m,29.5kg,75,"['60', '95', '80', '60', '80', '30', '405']"
#0048,#048,毛球,虫/毒,有色眼镜/复眼,逃跑,昆虫宝可梦,1.0m,30.0kg,190,"['60', '55', '50', '40', '55', '45', '305']"
#0049,#049,摩鲁蛾,虫/毒,有色眼镜/鳞粉,奇迹皮肤,毒蛾宝可梦,1.5m,12.5kg,75,"['70', '65', '60', '90', '75', '90', '450']"
#0050,#050,地鼠,地面,沙隐/沙穴,沙之力,鼹鼠宝可梦,0.2m,0.8kg,255,"['10', '55', '25', '35', '45', '95', '265']"
#0051,#051,三地鼠,地面,沙隐/沙穴,沙之力,鼹鼠宝可梦,0.7m,33.3kg,50,"['35', '100', '50', '50', '70', '120', '425']"
#0052,#052,喵喵,一般,技术高手/捡拾,紧张感,妖怪猫宝可梦,0.4m,4.2kg,255,"['40', '45', '35', '40', '40', '90', '290']"
