全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0650,#001,哈力栗,草,茂盛,防弹,刺栗宝可梦,0.4m,9.0kg,45,"['56', '61', '65', '48', '45', '38', '313']"
#0651,#002,胖胖哈力,草,茂盛,防弹,刺铠宝可梦,0.7m,29.0kg,45,"['61', '78', '95', '56', '58', '57', '405']"
#0652,#003,布里卡隆,草/格斗,茂盛,防弹,刺铠宝可梦,1.6m,90.0kg,45,"['88', '107', '122', '74', '75', '64', '530']"
#0653,#004,火狐狸,火,猛火,魔术师,狐狸宝可梦,0.4m,9.4kg,45,"['40', '45', '40', '62', '60', '60', '307']"
#0654,#005,长尾火狐,火,猛火,魔术师,狐狸宝可梦,1.0m,14.5kg,45,"['59', '59', '58', '90', '70', '73', '409']"
#0655,#006,妖火红狐,火/超能力,猛火,魔术师,狐狸宝可梦,1.5m,39.0kg,45,"['75', '69', '72', '114', '100', '104', '534']"
#0656,#007,呱呱泡蛙,水,激流,变幻自如,泡蛙宝可梦,0.3m,7.0kg,45,"['41', '56', '40', '62', '44', '71', '314']"
#0657,#008,呱头蛙,水,激流,变幻自如,泡蛙宝可梦,0.6m,10.9kg,45,"['54', '63', '52', '83', '56', '97', '405']"
#0658,#009,甲贺忍蛙,水/恶,激流,变幻自如,忍者宝可梦,1.5m,40.0kg,45,"['72', '95', '67', '103', '71', '122', '530']"
#0659,#010,掘掘兔,一般,捡拾/颊囊,大力士,挖洞宝可梦,0.4m,5.0kg,255,"['38', '36', '38', '32', '36', '57', '237']"
#0660,#011,掘地兔,一般/地面,捡拾/颊囊,大力士,挖洞宝可梦,1.0m,42.4kg,127,"['85', '56', '77', '50', '77', '78', '423']"
#0263,#012,蛇纹熊,一般,捡拾/贪吃鬼,飞毛腿,豆狸宝可梦,0.4m,17.5kg,255,"['38', '30', '41', '30', '41', '60', '240']"
#0264,#013,直冲熊,一般,捡拾/贪吃鬼,飞毛腿,猛冲宝可梦,0.5m,32.5kg,90,"['78', '70', '61', '50', '61', '100', '420']"
#0661,#014,小箭雀,一般/飛行,健壮胸肌,疾风之翼,知更鸟宝可梦,0.3m,1.7kg,255,"['45', '50', '43', '40', '38', '62', '278']"
#0662,#015,火箭雀,火/飛行,火焰之軀,疾风之翼,火花宝可梦,0.7m,16.0kg,120,"['62', '73', '55', '56', '52', '84', '382']"
#0663,#016,烈箭鹰,火/飛行,火焰之躯,疾风之翼,烈火宝可梦,1.2m,24.5kg,45,"['78', '81', '71', '74', '69', '126', '499']"
#0016,#017,波波,一般/飞行,锐利目光/蹒跚,健壮胸肌,小鸟宝可梦,0.3m,1.8kg,255,"['40', '45', '40', '35', '35', '56', '251']"
#0017,#018,比比鸟,一般/飞行,锐利目光/蹒跚,健壮胸肌,鸟宝可梦,1.1m,30.0kg,120,"['63', '60', '55', '50', '50', '71', '349']"
#0018,#019,大比鸟,一般/飞行,锐利目光/蹒跚,健壮胸肌,鸟宝可梦,1.5m,39.5kg,45,"['83', '80', '75', '70', '70', '101', '479']"
#0664,#020,粉蝶虫,蟲,鳞粉/复眼,友情防守,喷粉宝可梦,0.3m,2.5kg,255,"['38', '35', '40', '27', '25', '35', '200']"
#0665,#021,粉蝶蛹,蟲,蜕皮,友情防守,喷粉宝可梦,0.3m,8.4kg,120,"['45', '22', '60', '27', '30', '29', '213']"
#0666,#022,彩粉蝶,蟲/飛行,鳞粉/复眼,友情防守,鳞粉宝可梦,1.2m,17.0kg,45,"['80', '52', '50', '90', '50', '89', '411']"
#0010,#023,绿毛虫,虫,鳞粉,逃跑,虫宝宝宝可梦,0.3m,2.9kg,255,"['45', '30', '35', '20', '20', '45', '195']"
#0011,#024,铁甲蛹,虫,蜕皮,,蛹宝可梦,0.7m,9.9kg,120,"['50', '20', '55', '25', '25', '30', '205']"
#0012,#025,巴大蝶,虫/飞行,复眼,有色眼镜,蝴蝶宝可梦,1.1m,32.0kg,45,"['60', '45', '50', '90', '80', '70', '395']"
#0013,#026,独角虫,虫/毒,鳞粉,逃跑,毛毛虫宝可梦,0.3m,3.2kg,255,"['40', '35', '30', '20', '20', '50', '195']"
#0014,#027,铁壳蛹,虫/毒,蜕皮,,蛹宝可梦,0.6m,10.0kg,120,"['45', '25', '50', '25', '25', '35', '205']"
#0015,#028,大针蜂,虫/毒,虫之预感,狙击手,毒蜂宝可梦,1.0m,29.5kg,45,"['65', '90', '40', '45', '80', '75', '395']"
#0511,#029,花椰猴,草,贪吃鬼,茂盛,草猴宝可梦,0.6m,10.5kg,190,"['50', '53', '48', '53', '48', '64', '316']"
#0512,#030,花椰猿,草,贪吃鬼,茂盛,刺猴宝可梦,1.1m,30.5kg,75,"['75', '98', '63', '98', '63', '101', '498']"
#0513,#031,爆香猴,火,贪吃鬼,猛火,高温宝可梦,0.6m,11.0kg,190,"['50', '53', '48', '53', '48', '64', '316']"
#0514,#032,爆香猿,火,贪吃鬼,猛火,火花宝可梦,1.0m,28.0kg,75,"['75', '98', '63', '98', '63', '101', '498']"
#0515,#033,冷水猴,水,贪吃鬼,激流,泼水宝可梦,0.6m,13.5kg,190,"['50', '53', '48', '53', '48', '64', '316']"
#0516,#034,冷水猿,水,贪吃鬼,激流,放水宝可梦,1.0m,29.0kg,75,"['75', '98', '63', '98', '63', '101', '498']"
#0172,#035,皮丘,电,静电,避雷针,小鼠宝可梦,0.3m,2.0kg,190,"['20', '40', '15', '35', '35', '60', '205']"
#0025,#036,皮卡丘,电,静电,避雷针,鼠宝可梦,0.4m,6.0kg,190,"['35', '55', '40', '50', '50', '90', '320']"
#0026,#037,雷丘,电,静电,避雷针,鼠宝可梦,0.8m,30.0kg,75,"['60', '90', '55', '90', '80', '110', '485']"
#0399,#038,大牙狸,一般,单纯/纯朴,心情不定,圆鼠宝可梦,0.5m,20.0kg,255,"['59', '45', '40', '35', '40', '31', '250']"
#0400,#039,大尾狸,一般/水,单纯/纯朴,心情不定,河狸宝可梦,1.0m,31.5kg,127,"['79', '85', '60', '55', '60', '71', '410']"
#0206,#040,土龙弟弟,一般,天恩/逃跑,胆怯,地蛇宝可梦,1.5m,14.0kg,190,"['100', '70', '70', '65', '65', '45', '415']"
#0298,#041,露力丽,一般/妖精,大力士/厚脂肪,食草,水珠宝可梦,0.2m,2.0kg,150,"['50', '20', '40', '20', '40', '20', '190']"
#0183,#042,玛力露,水/妖精,大力士/厚脂肪,食草,水鼠宝可梦,0.4m,8.5kg,190,"['70', '20', '50', '20', '50', '40', '250']"
#0184,#043,玛力露丽,水/妖精,大力士/厚脂肪,食草,水兔宝可梦,0.8m,28.5kg,75,"['100', '50', '80', '60', '80', '50', '420']"
#0412,#044,结草儿,虫,蜕皮,防尘,蓑衣虫宝可梦,0.2m,3.4kg,120,"['40', '29', '45', '29', '45', '36', '224']"
#0413,#045,结草贵妇,虫/草,危险预知,防尘,蓑衣虫宝可梦,0.5m,6.5kg,45,"['60', '59', '85', '79', '105', '36', '424']"
#0414,#046,绅士蛾,虫/飞行,虫之预感,有色眼镜,蓑衣蛾宝可梦,0.9m,23.3kg,45,"['70', '94', '50', '94', '50', '66', '424']"
#0283,#047,溜溜糖球,虫/水,悠游自如,雨盘,水黾宝可梦,0.5m,1.7kg,200,"['40', '30', '32', '50', '52', '65', '269']"
#0284,#048,雨翅蛾,虫/飞行,威吓,紧张感,眼珠宝可梦,0.8m,3.6kg,75,"['70', '60', '62', '100', '82', '80', '454']"
#0129,#049,鲤鱼王,水,悠游自如,胆怯,鱼宝可梦,0.9m,10.0kg,255,"['20', '10', '55', '15', '20', '80', '200']"
#0130,#050,暴鲤龙,水/飞行,威吓,自信过度,凶恶宝可梦,6.5m,235.0kg,45,"['95', '125', '79', '60', '100', '81', '540']"
#0341,#051,龙虾小兵,水,硬壳盔甲/怪力钳,适应力,无赖宝可梦,0.6m,11.5kg,205,"['43', '80', '65', '50', '35', '35', '308']"
#0342,#052,铁螯龙虾,水/惡,硬壳盔甲/怪力钳,适应力,流氓宝可梦,1.1m,32.8kg,155,"['63', '120', '85', '90', '55', '55', '468']"
#0118,#053,角金鱼,水,悠游自如/水幕,避雷针,金鱼宝可梦,0.6m,15.0kg,225,"['45', '67', '60', '35', '50', '63', '320']"
#0119,#054,金鱼王,水,悠游自如/水幕,避雷针,金鱼宝可梦,1.3m,39.0kg,60,"['80', '92', '65', '65', '80', '68', '450']"
#0318,#055,利牙鱼,水/惡,粗糙皮肤,加速,凶猛宝可梦,0.8m,20.8kg,225,"['45', '90', '20', '65', '20', '65', '305']"
#0319,#056,巨牙鲨,水/惡,粗糙皮肤,加速,凶暴宝可梦,1.8m,88.8kg,60,"['70', '120', '40', '95', '40', '95', '460']"
#0667,#057,小狮狮,火/一般,斗争心/紧张感,自信过度,幼狮宝可梦,0.6m,13.5kg,220,"['62', '50', '58', '73', '54', '72', '369']"
#0668,#058,火炎狮,火/一般,鬥爭心/緊張感,自信过度,王者宝可梦,1.5m,81.5kg,65,"['86', '68', '72', '109', '66', '106', '507']"
#0054,#059,可达鸭,水,无关天气/湿气,悠游自如,鸭宝可梦,0.8m,19.6kg,190,"['50', '52', '48', '65', '50', '55', '320']"
#0055,#060,哥达鸭,水,无关天气/湿气,悠游自如,鸭宝可梦,1.7m,76.6kg,75,"['80', '82', '78', '95', '80', '85', '500']"
#0083,#061,大葱鸭,一般/飞行,锐利目光/精神力,不服输,黄嘴鸭宝可梦,0.8m,15.0kg,45,"['52', '90', '55', '58', '62', '60', '377']"
#0447,#062,利欧路,格斗,精神力/不屈之心,恶作剧之心,波纹宝可梦,0.7m,20.2kg,75,"['40', '70', '40', '35', '40', '60', '285']"
#0448,#063,路卡利欧,格斗/钢,精神力/不屈之心,正义之心,波导宝可梦,1.2m,54.0kg,45,"['70', '110', '70', '115', '70', '90', '525']"
#0280,#064,拉鲁拉丝,超能力/妖精,同步/复制,心灵感应,心情宝可梦,0.4m,6.6kg,235,"['28', '25', '25', '45', '35', '40', '198']"
#0281,#065,奇鲁莉安,超能力/妖精,同步/复制,心灵感应,感情宝可梦,0.8m,20.2kg,120,"['38', '35', '35', '65', '55', '50', '278']"
#0282,#066,沙奈朵,超能力/妖精,同步/复制,心灵感应,包容宝可梦,1.6m,48.4kg,45,"['68', '65', '65', '125', '115', '80', '518']"
#0475,#067,艾路雷朵,超能力/格斗,锋锐/不屈之心,正义之心,利刃宝可梦,1.6m,52.0kg,45,"['68', '125', '65', '65', '115', '80', '518']"
#0669,#068,花蓓蓓,妖精,花幕,共生,单朵宝可梦,0.1m,0.1kg,225,"['44', '38', '39', '61', '79', '42', '303']"
#0670,#069,花叶蒂,妖精,花幕,共生,单朵宝可梦,0.2m,0.9kg,120,"['54', '45', '47', '75', '98', '52', '371']"
#0671,#070,花洁夫人,妖精,花幕,共生,花园宝可梦,1.1m,10.0kg,45,"['78', '65', '68', '112', '154', '75', '552']"
#0406,#071,含羞苞,草/毒,自然回复/毒刺,叶子防守,花苞宝可梦,0.2m,1.2kg,255,"['40', '30', '35', '50', '70', '55', '280']"
#0315,#072,毒蔷薇,草/毒,自然回复/毒刺,叶子防守,荆棘宝可梦,0.3m,2.0kg,150,"['50', '60', '45', '100', '80', '65', '400']"
#0407,#073,罗丝雷朵,草/毒,自然回复/毒刺,技术高手,花束宝可梦,0.9m,14.5kg,75,"['60', '70', '65', '125', '105', '90', '515']"
