全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0494,#000,比克提尼,超能力/火,胜利之星,,胜利宝可梦,0.4m,4.0kg,3,"['100', '100', '100', '100', '100', '100', '600']"
#0495,#001,藤藤蛇,草,茂盛,唱反调,草蛇宝可梦,0.6m,8.1kg,45,"['45', '45', '55', '45', '55', '63', '308']"
#0496,#002,青藤蛇,草,茂盛,唱反调,草蛇宝可梦,0.8m,16.0kg,45,"['60', '60', '75', '60', '75', '83', '413']"
#0497,#003,君主蛇,草,茂盛,唱反调,皇家宝可梦,3.3m,63.0kg,45,"['75', '75', '95', '75', '95', '113', '528']"
#0498,#004,暖暖猪,火,猛火,厚脂肪,火猪宝可梦,0.5m,9.9kg,45,"['65', '63', '45', '45', '45', '45', '308']"
#0499,#005,炒炒猪,火/格斗,猛火,厚脂肪,火猪宝可梦,1.0m,55.0kg,45,"['90', '93', '55', '70', '55', '55', '418']"
#0500,#006,炎武王,火/格斗,猛火,舍身,大火猪宝可梦,1.6m,150.0kg,45,"['110', '123', '65', '100', '65', '65', '528']"
#0501,#007,水水獭,水,激流,硬壳盔甲,海獭宝可梦,0.5m,5.9kg,45,"['55', '55', '45', '63', '45', '45', '308']"
#0502,#008,双刃丸,水,激流,硬壳盔甲,修行宝可梦,0.8m,24.5kg,45,"['75', '75', '60', '83', '60', '60', '413']"
#0503,#009,大剑鬼,水,激流,硬壳盔甲,威严宝可梦,1.5m,94.6kg,45,"['95', '100', '85', '108', '70', '70', '528']"
#0504,#010,探探鼠,一般,锐利目光/逃跑,分析,放哨宝可梦,0.5m,11.6kg,255,"['45', '55', '39', '35', '39', '42', '255']"
#0505,#011,步哨鼠,一般,发光/锐利目光,分析,警戒宝可梦,1.1m,27.0kg,255,"['60', '85', '69', '60', '69', '77', '420']"
#0509,#012,扒手猫,恶,轻装/柔软,恶作剧之心,坏心眼宝可梦,0.4m,10.1kg,255,"['41', '50', '37', '50', '37', '66', '281']"
#0510,#013,酷豹,恶,轻装/柔软,恶作剧之心,冷酷宝可梦,1.1m,37.5kg,90,"['64', '88', '50', '88', '50', '106', '446']"
#0519,#014,豆豆鸽,一般/飞行,超幸运/健壮胸肌,斗争心,小鸽宝可梦,0.3m,2.1kg,255,"['50', '55', '50', '36', '30', '43', '264']"
#0520,#015,咕咕鸽,一般/飞行,超幸运/健壮胸肌,斗争心,野鸽宝可梦,0.6m,15.0kg,120,"['62', '77', '62', '50', '42', '65', '358']"
#0521,#016,高傲雉鸡,一般/飞行,超幸运/健壮胸肌,斗争心,自尊心宝可梦,1.2m,29.0kg,45,"['80', '115', '80', '65', '55', '93', '488']"
#0540,#017,虫宝包,虫/草,蟲之預感/叶绿素,防尘,裁缝宝可梦,0.3m,2.5kg,255,"['45', '53', '70', '40', '60', '42', '310']"
#0541,#018,宝包茧,虫/草,叶绿素/叶子防守,防尘,足不出叶宝可梦,0.5m,7.3kg,120,"['55', '63', '90', '50', '80', '42', '380']"
#0542,#019,保姆虫,虫/草,蟲之預感/叶绿素,防尘,育儿宝可梦,1.2m,20.5kg,45,"['75', '103', '80', '70', '80', '92', '500']"
#0191,#020,向日种子,草,叶绿素/太阳之力,早起,种子宝可梦,0.3m,1.8kg,235,"['30', '30', '30', '30', '30', '30', '180']"
#0192,#021,向日花怪,草,叶绿素/太阳之力,早起,太阳宝可梦,0.8m,8.5kg,120,"['75', '75', '55', '105', '85', '30', '425']"
#0506,#022,小约克,一般,干劲/捡拾,逃跑,小狗宝可梦,0.4m,4.1kg,255,"['45', '60', '45', '25', '45', '55', '275']"
#0507,#023,哈约克,一般,威吓/拨沙,胆量,忠犬宝可梦,0.9m,14.7kg,120,"['65', '80', '65', '35', '65', '60', '370']"
#0508,#024,长毛狗,一般,威吓/拨沙,胆量,宽大宝可梦,1.2m,61.0kg,45,"['85', '110', '90', '45', '90', '80', '500']"
#0179,#025,咩利羊,电,静电,正电,绵毛宝可梦,0.6m,7.8kg,235,"['55', '40', '40', '65', '45', '35', '280']"
#0180,#026,茸茸羊,电,静电,正电,绵毛宝可梦,0.8m,13.3kg,120,"['70', '55', '55', '80', '60', '45', '365']"
#0181,#027,电龙,电,静电,正电,灯宝可梦,1.4m,61.5kg,45,"['90', '75', '85', '115', '90', '55', '510']"
#0054,#028,可达鸭,水,无关天气/湿气,悠游自如,鸭宝可梦,0.8m,19.6kg,190,"['50', '52', '48', '65', '50', '55', '320']"
#0055,#029,哥达鸭,水,无关天气/湿气,悠游自如,鸭宝可梦,1.7m,76.6kg,75,"['80', '82', '78', '95', '80', '85', '500']"
#0298,#030,露力丽,一般,大力士/厚脂肪,食草,水珠宝可梦,0.2m,2.0kg,150,"['50', '20', '40', '20', '40', '20', '190']"
#0183,#031,玛力露,水,大力士/厚脂肪,食草,水鼠宝可梦,0.4m,8.5kg,190,"['70', '20', '50', '20', '50', '40', '250']"
#0184,#032,玛力露丽,水,大力士/厚脂肪,食草,水兔宝可梦,0.8m,28.5kg,75,"['100', '50', '80', '60', '80', '50', '420']"
#0447,#033,利欧路,格斗,精神力/不屈之心,恶作剧之心,波纹宝可梦,0.7m,20.2kg,75,"['40', '70', '40', '35', '40', '60', '285']"
#0448,#034,路卡利欧,格斗/钢,精神力/不屈之心,正义之心,波导宝可梦,1.2m,54.0kg,45,"['70', '110', '70', '115', '70', '90', '525']"
#0206,#035,土龙弟弟,一般,天恩/逃跑,胆怯,地蛇宝可梦,1.5m,14.0kg,190,"['100', '70', '70', '65', '65', '45', '415']"
#0531,#036,差不多娃娃,一般,再生力/治愈之心,笨拙,听力宝可梦,1.1m,31.0kg,255,"['103', '60', '86', '60', '86', '50', '445']"
#0511,#037,花椰猴,草,贪吃鬼,茂盛,草猴宝可梦,0.6m,10.5kg,190,"['50', '53', '48', '53', '48', '64', '316']"
#0512,#038,花椰猿,草,贪吃鬼,茂盛,刺猴宝可梦,1.1m,30.5kg,75,"['75', '98', '63', '98', '63', '101', '498']"
#0513,#039,爆香猴,火,贪吃鬼,猛火,高温宝可梦,0.6m,11.0kg,190,"['50', '53', '48', '53', '48', '64', '316']"
#0514,#040,爆香猿,火,贪吃鬼,猛火,火花宝可梦,1.0m,28.0kg,75,"['75', '98', '63', '98', '63', '101', '498']"
#0515,#041,冷水猴,水,贪吃鬼,激流,泼水宝可梦,0.6m,13.5kg,190,"['50', '53', '48', '53', '48', '64', '316']"
#0516,#042,冷水猿,水,贪吃鬼,激流,放水宝可梦,1.0m,29.0kg,75,"['75', '98', '63', '98', '63', '101', '498']"
#0543,#043,百足蜈蚣,虫/毒,蟲之預感/毒刺,加速,蜈蚣宝可梦,0.4m,5.3kg,255,"['30', '45', '59', '30', '39', '57', '260']"
#0544,#044,车轮球,虫/毒,蟲之預感/毒刺,加速,茧蜈蚣宝可梦,1.2m,58.5kg,120,"['40', '55', '99', '40', '79', '47', '360']"
#0545,#045,蜈蚣王,虫/毒,蟲之預感/毒刺,加速,巨蜈蚣宝可梦,2.5m,200.5kg,45,"['60', '100', '89', '55', '69', '112', '485']"
#0109,#046,瓦斯弹,毒,飘浮/化学变化气体,恶臭,毒气宝可梦,0.6m,1.0kg,190,"['40', '65', '95', '60', '45', '35', '340']"
#0110,#047,双弹瓦斯,毒,飘浮/化学变化气体,恶臭,毒气宝可梦,1.2m,9.5kg,60,"['65', '90', '120', '85', '70', '60', '490']"
#0081,#048,小磁怪,电/钢,结实/磁力,分析,磁铁宝可梦,0.3m,6.0kg,190,"['25', '35', '70', '95', '55', '45', '325']"
#0082,#049,三合一磁怪,电/钢,结实/磁力,分析,磁铁宝可梦,1.0m,60.0kg,60,"['50', '60', '95', '120', '70', '70', '465']"
#0462,#050,自爆磁怪,电/钢,结实/磁力,分析,磁场宝可梦,1.2m,180.0kg,30,"['70', '70', '115', '130', '90', '60', '535']"
