全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0167,#001,圆丝蛛,虫/毒,蟲之預感/不眠,狙击手,吐丝宝可梦,0.5m,8.5kg,255,"['40', '60', '40', '40', '40', '30', '250']"
#0168,#002,阿利多斯,虫/毒,蟲之預感/不眠,狙击手,长腿宝可梦,1.1m,33.5kg,90,"['70', '90', '70', '60', '70', '40', '400']"
#0193,#003,蜻蜻蜓,虫/飞行,加速/复眼,察觉,薄翼宝可梦,1.2m,38.0kg,75,"['65', '65', '45', '75', '45', '95', '390']"
#0469,#004,远古巨蜓,虫/飞行,加速/有色眼镜,察觉,勾蜓宝可梦,1.9m,51.5kg,30,"['86', '76', '86', '116', '56', '95', '515']"
#0194,#005,乌波,水/地面,储水/湿气,纯朴,水鱼宝可梦,0.4m,8.5kg,255,"['55', '45', '45', '25', '25', '15', '210']"
#0195,#006,沼王,水/地面,储水/湿气,纯朴,水鱼宝可梦,1.4m,75.0kg,90,"['95', '85', '85', '65', '65', '35', '430']"
#0261,#007,土狼犬,恶,逃跑/飞毛腿,胆怯,紧咬宝可梦,0.5m,13.6kg,255,"['35', '55', '35', '30', '30', '35', '220']"
#0262,#008,大狼犬,恶,飞毛腿/威吓,自信过度,紧咬宝可梦,1.0m,37.0kg,127,"['70', '90', '70', '60', '60', '70', '420']"
#0313,#009,电萤虫,虫,虫之预感/发光,恶作剧之心,萤火虫宝可梦,0.7m,17.7kg,150,"['65', '73', '75', '47', '85', '85', '430']"
#0314,#010,甜甜萤,虫,迟钝/有色眼镜,恶作剧之心,萤火虫宝可梦,0.6m,17.7kg,150,"['65', '47', '75', '73', '85', '85', '430']"
#0341,#011,龙虾小兵,水,硬壳盔甲/怪力钳,适应力,无赖宝可梦,0.6m,11.5kg,205,"['43', '80', '65', '50', '35', '35', '308']"
#0342,#012,铁螯龙虾,水/恶,硬壳盔甲/怪力钳,适应力,流氓宝可梦,1.1m,32.8kg,155,"['63', '120', '85', '90', '55', '55', '468']"
#0540,#013,虫宝包,虫/草,叶绿素/蟲之預感,防尘,裁缝宝可梦,0.3m,2.5kg,255,"['45', '53', '70', '40', '60', '42', '310']"
#0541,#014,宝包茧,虫/草,叶子防守/叶绿素,防尘,足不出叶宝可梦,0.5m,7.3kg,120,"['55', '63', '90', '50', '80', '42', '380']"
#0542,#015,保姆虫,虫/草,叶绿素/蟲之預感,防尘,育儿宝可梦,1.2m,20.5kg,45,"['75', '103', '80', '70', '80', '92', '500']"
#0742,#016,萌虻,虫/妖精,采蜜/鳞粉,甜幕,蜂虻宝可梦,0.1m,0.2kg,190,"['40', '45', '40', '55', '40', '84', '304']"
#0743,#017,蝶结萌虻,虫/妖精,采蜜/鳞粉,甜幕,蜂虻宝可梦,0.2m,0.5kg,75,"['60', '55', '60', '95', '70', '124', '464']"
#0023,#018,阿柏蛇,毒,威吓/蜕皮,紧张感,蛇宝可梦,2.0m,6.9kg,255,"['35', '60', '44', '40', '54', '55', '288']"
#0024,#019,阿柏怪,毒,威吓/蜕皮,紧张感,眼镜蛇宝可梦,3.5m,65.0kg,90,"['60', '95', '69', '65', '79', '80', '448']"
#0172,#020,皮丘,电,静电,避雷针,小鼠宝可梦,0.3m,2.0kg,190,"['20', '40', '15', '35', '35', '60', '205']"
#0025,#021,皮卡丘,电,静电,避雷针,鼠宝可梦,0.4m,6.0kg,190,"['35', '55', '40', '50', '50', '90', '320']"
#0026,#022,雷丘,电,静电,避雷针,鼠宝可梦,0.8m,30.0kg,75,"['60', '90', '55', '90', '80', '110', '485']"
#0069,#023,喇叭芽,草/毒,叶绿素,贪吃鬼,花宝可梦,0.7m,4.0kg,255,"['50', '75', '35', '70', '30', '40', '300']"
#0070,#024,口呆花,草/毒,叶绿素,贪吃鬼,捕蝇宝可梦,1.0m,6.4kg,120,"['65', '90', '50', '85', '45', '55', '390']"
