全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0906,#001,新叶喵,草,茂盛,变幻自如,草猫宝可梦,0.4m,4.1kg,45,"['40', '61', '54', '45', '45', '65', '310']"
#0907,#002,蒂蕾喵,草,茂盛,变幻自如,草猫宝可梦,0.9m,12.2kg,45,"['61', '80', '63', '60', '63', '83', '410']"
#0908,#003,魔幻假面喵,草/恶,茂盛,变幻自如,魔术师宝可梦,1.5m,31.2kg,45,"['76', '110', '70', '81', '70', '123', '530']"
#0909,#004,呆火鳄,火,猛火,纯朴,火鳄宝可梦,0.4m,9.8kg,45,"['67', '45', '59', '63', '40', '36', '310']"
#0910,#005,炙烫鳄,火,猛火,纯朴,火鳄宝可梦,1.0m,30.7kg,45,"['81', '55', '78', '90', '58', '49', '411']"
#0911,#006,骨纹巨声鳄,火/幽灵,猛火,纯朴,歌手宝可梦,1.6m,326.5kg,45,"['104', '75', '100', '110', '75', '66', '530']"
#0912,#007,润水鸭,水,激流,自信过度,小鸭宝可梦,0.5m,6.1kg,45,"['55', '65', '45', '50', '45', '50', '310']"
#0913,#008,涌跃鸭,水,激流,自信过度,习艺宝可梦,1.2m,21.5kg,45,"['70', '85', '65', '65', '60', '65', '410']"
#0914,#009,狂欢浪舞鸭,水/格斗,激流,自信过度,舞者宝可梦,1.8m,61.9kg,45,"['85', '120', '80', '85', '75', '85', '530']"
#0915,#010,爱吃豚,一般,贪吃鬼/芳香幕,厚脂肪,猪宝可梦,0.5m,10.2kg,255,"['54', '45', '40', '35', '45', '35', '254']"
#0916,#011,飘香豚,一般,甩不掉的气味/贪吃鬼,厚脂肪,猪宝可梦,1.0m,120.0kg,100,"['110', '100', '75', '59', '80', '65', '489']"
#0917,#012,团珠蛛,虫,不眠,蹲守,线球宝可梦,0.3m,4.0kg,255,"['35', '41', '45', '29', '40', '20', '210']"
#0918,#013,操陷蛛,虫,不眠,蹲守,陷阱宝可梦,1.0m,16.5kg,120,"['60', '79', '92', '52', '86', '35', '404']"
#0919,#014,豆蟋蟀,虫,虫之预感,有色眼镜,蝗虫宝可梦,0.2m,1.0kg,190,"['33', '46', '40', '21', '25', '45', '210']"
#0920,#015,烈腿蝗,虫/恶,虫之预感,有色眼镜,蝗虫宝可梦,1.0m,17.5kg,30,"['71', '102', '78', '52', '55', '92', '450']"
#0187,#016,毽子草,草/飞行,叶绿素/叶子防守,穿透,棉草宝可梦,0.4m,0.5kg,255,"['35', '35', '40', '35', '55', '50', '250']"
#0188,#017,毽子花,草/飞行,叶绿素/叶子防守,穿透,棉草宝可梦,0.6m,1.0kg,120,"['55', '45', '50', '45', '65', '80', '340']"
#0189,#018,毽子棉,草/飞行,叶绿素/叶子防守,穿透,棉草宝可梦,0.8m,3.0kg,45,"['75', '55', '70', '55', '95', '110', '460']"
