全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0722,#001,木木枭,草/飞行,茂盛,远隔,草羽宝可梦,0.3m,1.5kg,45,"['68', '55', '55', '50', '50', '42', '320']"
#0723,#002,投羽枭,草/飞行,茂盛,远隔,刃羽宝可梦,0.7m,16.0kg,45,"['78', '75', '75', '70', '70', '52', '420']"
#0724,#003,狙射树枭,草/格斗,茂盛,远隔,箭羽宝可梦,1.6m,36.6kg,45,"['78', '107', '75', '100', '100', '70', '530']"
#0155,#004,火球鼠,火,猛火,引火,火鼠宝可梦,0.5m,7.9kg,45,"['39', '52', '43', '60', '50', '65', '309']"
#0156,#005,火岩鼠,火,猛火,引火,火山宝可梦,0.9m,19.0kg,45,"['58', '64', '58', '80', '65', '80', '405']"
#0157,#006,火暴兽,火/幽灵,猛火,引火,火山宝可梦,1.7m,79.5kg,45,"['78', '84', '78', '109', '85', '100', '534']"
#0501,#007,水水獭,水,激流,硬壳盔甲,海獭宝可梦,0.5m,5.9kg,45,"['55', '55', '45', '63', '45', '45', '308']"
#0502,#008,双刃丸,水,激流,硬壳盔甲,修行宝可梦,0.8m,24.5kg,45,"['75', '75', '60', '83', '60', '60', '413']"
#0503,#009,大剑鬼,水/恶,激流,硬壳盔甲,威严宝可梦,1.5m,94.6kg,45,"['95', '100', '85', '108', '70', '70', '528']"
#0399,#010,大牙狸,一般,单纯/纯朴,心情不定,圆鼠宝可梦,0.5m,20.0kg,255,"['59', '45', '40', '35', '40', '31', '250']"
#0400,#011,大尾狸,一般/水,单纯/纯朴,心情不定,河狸宝可梦,1.0m,31.5kg,127,"['79', '85', '60', '55', '60', '71', '410']"
#0396,#012,姆克儿,一般/飞行,锐利目光,捨身,椋鸟宝可梦,0.3m,2.0kg,255,"['40', '55', '30', '30', '30', '60', '245']"
#0397,#013,姆克鸟,一般/飞行,威吓,舍身,椋鸟宝可梦,0.6m,15.5kg,120,"['55', '75', '50', '40', '40', '80', '340']"
#0398,#014,姆克鹰,一般/飞行,威吓,舍身,猛禽宝可梦,1.2m,24.9kg,45,"['85', '120', '70', '50', '60', '100', '485']"
#0403,#015,小猫怪,电,威吓/斗争心,毅力,闪光宝可梦,0.5m,9.5kg,235,"['45', '65', '34', '40', '34', '45', '263']"
#0404,#016,勒克猫,电,威吓/斗争心,毅力,电光宝可梦,0.9m,30.5kg,120,"['60', '85', '49', '60', '49', '60', '363']"
#0405,#017,伦琴猫,电,威吓/斗争心,毅力,目光宝可梦,1.4m,42.0kg,45,"['80', '120', '79', '95', '79', '70', '523']"
#0265,#018,刺尾虫,虫,鳞粉,逃跑,虫宝宝宝可梦,0.3m,3.6kg,255,"['45', '45', '35', '20', '30', '20', '195']"
#0266,#019,甲壳茧,虫,蜕皮,,蛹宝可梦,0.6m,10.0kg,120,"['50', '35', '55', '25', '25', '15', '205']"
#0267,#020,狩猎凤蝶,虫/飞行,虫之预感,斗争心,蝴蝶宝可梦,1.0m,28.4kg,45,"['60', '70', '50', '100', '50', '65', '395']"
#0268,#021,盾甲茧,虫,蜕皮,,蛹宝可梦,0.7m,11.5kg,120,"['50', '35', '55', '25', '25', '15', '205']"
#0269,#022,毒粉蛾,虫/毒,鳞粉,复眼,毒蛾宝可梦,1.2m,31.6kg,45,"['60', '50', '70', '50', '90', '65', '385']"
#0077,#023,小火马,火,逃跑/引火,火焰之躯,火马宝可梦,1.0m,30.0kg,190,"['50', '85', '55', '65', '65', '90', '410']"
#0078,#024,烈焰马,火,逃跑/引火,火焰之躯,火马宝可梦,1.7m,95.0kg,60,"['65', '100', '70', '80', '80', '105', '500']"
#0133,#025,伊布,一般,适应力/逃跑,危险预知,进化宝可梦,0.3m,6.5kg,45,"['55', '55', '50', '45', '65', '55', '325']"
#0134,#026,水伊布,水,储水,湿润之躯,吐泡宝可梦,1.0m,29.0kg,45,"['130', '65', '60', '110', '95', '65', '525']"
#0135,#027,雷伊布,电,蓄电,飞毛腿,雷宝可梦,0.8m,24.5kg,45,"['65', '65', '60', '110', '95', '130', '525']"
#0136,#028,火伊布,火,引火,毅力,火宝可梦,0.9m,25.0kg,45,"['65', '130', '60', '95', '110', '65', '525']"
#0196,#029,太阳伊布,超能力,同步,魔法镜,太阳宝可梦,0.9m,26.5kg,45,"['65', '65', '60', '130', '95', '110', '525']"
#0197,#030,月亮伊布,恶,同步,精神力,月光宝可梦,1.0m,27.0kg,45,"['95', '65', '110', '60', '130', '65', '525']"
#0470,#031,叶伊布,草,叶子防守,叶绿素,新绿宝可梦,1.0m,25.5kg,45,"['65', '110', '130', '60', '65', '95', '525']"
#0471,#032,冰伊布,冰,雪隐,冰冻之躯,新雪宝可梦,0.8m,25.9kg,45,"['65', '60', '110', '130', '95', '65', '525']"
#0700,#033,仙子伊布,妖精,迷人之軀,妖精皮肤,连结宝可梦,1.0m,23.5kg,45,"['95', '65', '65', '110', '130', '60', '525']"
#0041,#034,超音蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,0.8m,7.5kg,255,"['40', '45', '35', '30', '40', '55', '245']"
#0042,#035,大嘴蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.6m,55.0kg,90,"['75', '80', '70', '65', '75', '90', '455']"
#0169,#036,叉字蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.8m,75.0kg,90,"['85', '90', '80', '70', '80', '130', '535']"
