全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0387,#001,草苗龟,草,茂盛,硬壳盔甲,嫩叶宝可梦,0.4m,10.2kg,45,"['55', '68', '64', '45', '55', '31', '318']"
#0388,#002,树林龟,草,茂盛,硬壳盔甲,树丛宝可梦,1.1m,97.0kg,45,"['75', '89', '85', '55', '65', '36', '405']"
#0389,#003,土台龟,草/地面,茂盛,硬壳盔甲,大陆宝可梦,2.2m,310.0kg,45,"['95', '109', '105', '75', '85', '56', '525']"
#0390,#004,小火焰猴,火,猛火,铁拳,小猴宝可梦,0.5m,6.2kg,45,"['44', '58', '44', '58', '44', '61', '309']"
#0391,#005,猛火猴,火/格斗,猛火,铁拳,顽皮宝可梦,0.9m,22.0kg,45,"['64', '78', '52', '78', '52', '81', '405']"
#0392,#006,烈焰猴,火/格斗,猛火,铁拳,火焰宝可梦,1.2m,55.0kg,45,"['76', '104', '71', '104', '71', '108', '534']"
#0393,#007,波加曼,水,激流,好胜,企鹅宝可梦,0.4m,5.2kg,45,"['53', '51', '53', '61', '56', '40', '314']"
#0394,#008,波皇子,水,激流,好胜,企鹅宝可梦,0.8m,23.0kg,45,"['64', '66', '68', '81', '76', '50', '405']"
#0395,#009,帝王拿波,水/钢,激流,好胜,皇帝宝可梦,1.7m,84.5kg,45,"['84', '86', '88', '111', '101', '60', '530']"
#0396,#010,姆克儿,一般/飞行,锐利目光,捨身,椋鸟宝可梦,0.3m,2.0kg,255,"['40', '55', '30', '30', '30', '60', '245']"
#0397,#011,姆克鸟,一般/飞行,威吓,舍身,椋鸟宝可梦,0.6m,15.5kg,120,"['55', '75', '50', '40', '40', '80', '340']"
#0398,#012,姆克鹰,一般/飞行,威吓,舍身,猛禽宝可梦,1.2m,24.9kg,45,"['85', '120', '70', '50', '60', '100', '485']"
#0399,#013,大牙狸,一般,单纯/纯朴,心情不定,圆鼠宝可梦,0.5m,20.0kg,255,"['59', '45', '40', '35', '40', '31', '250']"
#0400,#014,大尾狸,一般/水,单纯/纯朴,心情不定,河狸宝可梦,1.0m,31.5kg,127,"['79', '85', '60', '55', '60', '71', '410']"
#0401,#015,圆法师,虫,蜕皮,逃跑,蟋蟀宝可梦,0.3m,2.2kg,255,"['37', '25', '41', '25', '41', '25', '194']"
#0402,#016,音箱蟀,虫,蟲之預感,技术高手,蟋蟀宝可梦,1.0m,25.5kg,45,"['77', '85', '51', '55', '51', '65', '384']"
#0403,#017,小猫怪,电,斗争心/威吓,毅力,闪光宝可梦,0.5m,9.5kg,235,"['45', '65', '34', '40', '34', '45', '263']"
#0404,#018,勒克猫,电,斗争心/威吓,毅力,电光宝可梦,0.9m,30.5kg,120,"['60', '85', '49', '60', '49', '60', '363']"
#0405,#019,伦琴猫,电,斗争心/威吓,毅力,目光宝可梦,1.4m,42.0kg,45,"['80', '120', '79', '95', '79', '70', '523']"
#0063,#020,凯西,超能力,精神力/同步,魔法防守,念力宝可梦,0.9m,19.5kg,200,"['25', '20', '15', '105', '55', '90', '310']"
#0064,#021,勇基拉,超能力,精神力/同步,魔法防守,念力宝可梦,1.3m,56.5kg,100,"['40', '35', '30', '120', '70', '105', '400']"
#0065,#022,胡地,超能力,精神力/同步,魔法防守,念力宝可梦,1.5m,48.0kg,50,"['55', '50', '45', '135', '95', '120', '500']"
#0129,#023,鲤鱼王,水,悠游自如,胆怯,鱼宝可梦,0.9m,10.0kg,255,"['20', '10', '55', '15', '20', '80', '200']"
#0130,#024,暴鲤龙,水/飞行,威吓,自信过度,凶恶宝可梦,6.5m,235.0kg,45,"['95', '125', '79', '60', '100', '81', '540']"
#0406,#025,含羞苞,草/毒,自然回复/毒刺,叶子防守,花苞宝可梦,0.2m,1.2kg,255,"['40', '30', '35', '50', '70', '55', '280']"
#0315,#026,毒蔷薇,草/毒,自然回复/毒刺,叶子防守,荆棘宝可梦,0.3m,2.0kg,150,"['50', '60', '45', '100', '80', '65', '400']"
#0407,#027,罗丝雷朵,草/毒,自然回复/毒刺,技术高手,花束宝可梦,0.9m,14.5kg,75,"['60', '70', '65', '125', '105', '90', '515']"
#0041,#028,超音蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,0.8m,7.5kg,255,"['40', '45', '35', '30', '40', '55', '245']"
#0042,#029,大嘴蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.6m,55.0kg,90,"['75', '80', '70', '65', '75', '90', '455']"
#0169,#030,叉字蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.8m,75.0kg,90,"['85', '90', '80', '70', '80', '130', '535']"
#0074,#031,小拳石,岩石/地面,结实/坚硬脑袋,沙隐,岩石宝可梦,0.4m,20.0kg,255,"['40', '80', '100', '30', '30', '20', '300']"
#0075,#032,隆隆石,岩石/地面,结实/坚硬脑袋,沙隐,岩石宝可梦,1.0m,105.0kg,120,"['55', '95', '115', '45', '45', '35', '390']"
#0076,#033,隆隆岩,岩石/地面,结实/坚硬脑袋,沙隐,重量级宝可梦,1.4m,300.0kg,45,"['80', '120', '130', '55', '65', '45', '495']"
#0095,#034,大岩蛇,岩石/地面,结实/坚硬脑袋,碎裂铠甲,岩蛇宝可梦,8.8m,210.0kg,45,"['35', '45', '160', '30', '45', '70', '385']"
#0208,#035,大钢蛇,钢/地面,结实/坚硬脑袋,强行,铁蛇宝可梦,9.2m,400.0kg,25,"['75', '85', '200', '55', '65', '30', '510']"
#0408,#036,头盖龙,岩石,破格,强行,头锤宝可梦,0.9m,31.5kg,45,"['67', '125', '40', '30', '30', '58', '350']"
