全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0722,#001,木木枭,草/飞行,茂盛,远隔,草羽宝可梦,0.3m,1.5kg,45,"['68', '55', '55', '50', '50', '42', '320']"
#0723,#002,投羽枭,草/飞行,茂盛,远隔,刃羽宝可梦,0.7m,16.0kg,45,"['78', '75', '75', '70', '70', '52', '420']"
#0724,#003,狙射树枭,草/幽灵,茂盛,远隔,箭羽宝可梦,1.6m,36.6kg,45,"['78', '107', '75', '100', '100', '70', '530']"
#0725,#004,火斑喵,火,猛火,威吓,火猫宝可梦,0.4m,4.3kg,45,"['45', '65', '40', '60', '40', '70', '320']"
#0726,#005,炎热喵,火,猛火,威吓,火猫宝可梦,0.7m,25.0kg,45,"['65', '85', '50', '80', '50', '90', '420']"
#0727,#006,炽焰咆哮虎,火/恶,猛火,威吓,反派宝可梦,1.8m,83.0kg,45,"['95', '115', '90', '80', '90', '60', '530']"
#0728,#007,球球海狮,水,激流,湿润之声,海狮宝可梦,0.4m,7.5kg,45,"['50', '54', '54', '66', '56', '40', '320']"
#0729,#008,花漾海狮,水,激流,湿润之声,偶像宝可梦,0.6m,17.5kg,45,"['60', '69', '69', '91', '81', '50', '420']"
#0730,#009,西狮海壬,水/妖精,激流,湿润之声,独唱者宝可梦,1.8m,44.0kg,45,"['80', '74', '74', '126', '116', '60', '530']"
#0731,#010,小笃儿,一般/飞行,連續攻擊/銳利目光,捡拾,啄木鸟宝可梦,0.3m,1.2kg,255,"['35', '75', '30', '30', '30', '65', '265']"
#0732,#011,喇叭啄鸟,一般/飞行,锐利目光/连续攻击,捡拾,喇叭喙宝可梦,0.6m,14.8kg,120,"['55', '85', '50', '40', '50', '75', '355']"
#0733,#012,铳嘴大鸟,一般/飞行,锐利目光/连续攻击,强行,铳炮宝可梦,1.1m,26.0kg,45,"['80', '120', '75', '75', '75', '60', '485']"
#0734,#013,猫鼬少,一般,蹲守/强壮之颚,适应力,巡回宝可梦,0.4m,6.0kg,255,"['48', '70', '30', '30', '30', '45', '253']"
#0735,#014,猫鼬探长,一般,蹲守/强壮之颚,适应力,蹲守宝可梦,0.7m,14.2kg,127,"['88', '110', '60', '55', '60', '45', '418']"
#0019,#015,小拉达,恶/一般,毅力/逃跑,活力,鼠宝可梦,0.3m,3.5kg,255,"['30', '56', '35', '25', '35', '72', '253']"
#0020,#016,拉达,恶/一般,毅力/逃跑,活力,鼠宝可梦,0.7m,18.5kg,127,"['55', '81', '60', '50', '70', '97', '413']"
#0010,#017,绿毛虫,虫,鳞粉,逃跑,虫宝宝宝可梦,0.3m,2.9kg,255,"['45', '30', '35', '20', '20', '45', '195']"
#0011,#018,铁甲蛹,虫,蜕皮,,蛹宝可梦,0.7m,9.9kg,120,"['50', '20', '55', '25', '25', '30', '205']"
#0012,#019,巴大蝶,虫/飞行,复眼,有色眼镜,蝴蝶宝可梦,1.1m,32.0kg,45,"['60', '45', '50', '90', '80', '70', '395']"
#0165,#020,芭瓢虫,虫/飞行,早起/虫之预感,胆怯,五星宝可梦,1.0m,10.8kg,255,"['40', '20', '30', '40', '80', '55', '265']"
#0166,#021,安瓢虫,虫/飞行,早起/蟲之預感,铁拳,五星宝可梦,1.4m,35.6kg,90,"['55', '35', '50', '55', '110', '85', '390']"
#0167,#022,圆丝蛛,虫/毒,不眠/蟲之預感,狙击手,吐丝宝可梦,0.5m,8.5kg,255,"['40', '60', '40', '40', '40', '30', '250']"
#0168,#023,阿利多斯,虫/毒,不眠/蟲之預感,狙击手,长腿宝可梦,1.1m,33.5kg,90,"['70', '90', '70', '60', '70', '40', '400']"
#0427,#024,卷卷耳,一般,笨拙/逃跑,柔软,兔子宝可梦,0.4m,5.5kg,190,"['55', '66', '44', '44', '56', '85', '350']"
#0428,#025,长耳兔,一般,迷人之躯/笨拙,柔软,兔子宝可梦,1.2m,33.3kg,60,"['65', '76', '84', '54', '96', '105', '480']"
#0686,#026,好啦鱿,惡/超能力,吸盘/唱反调,穿透,回转宝可梦,0.4m,3.5kg,190,"['53', '54', '53', '37', '46', '45', '288']"
#0687,#027,乌贼王,惡/超能力,吸盘/唱反调,穿透,倒转宝可梦,1.5m,47.0kg,80,"['86', '92', '88', '68', '75', '73', '482']"
#0570,#028,索罗亚,惡,幻觉,,恶狐宝可梦,0.7m,12.5kg,75,"['40', '65', '40', '80', '40', '65', '330']"
#0571,#029,索罗亚克,惡,幻觉,,妖狐宝可梦,1.6m,81.1kg,45,"['60', '105', '60', '120', '60', '105', '510']"
#0676,#030,多丽米亚,一般,毛皮大衣,,贵宾犬宝可梦,1.2m,28.0kg,160,"['75', '80', '60', '65', '90', '102', '472']"
#0172,#031,皮丘,电,静电,避雷针,小鼠宝可梦,0.3m,2.0kg,190,"['20', '40', '15', '35', '35', '60', '205']"
#0025,#032,皮卡丘,电,静电,避雷针,鼠宝可梦,0.4m,6.0kg,190,"['35', '55', '40', '50', '50', '90', '320']"
#0026,#033,雷丘,电/超能力,静电,避雷针,鼠宝可梦,0.8m,30.0kg,75,"['60', '90', '55', '90', '80', '110', '485']"
#0736,#034,强颚鸡母虫,虫,虫之预感,,幼虫宝可梦,0.4m,4.4kg,255,"['47', '62', '45', '55', '45', '46', '300']"
#0737,#035,虫电宝,虫/电,蓄电池,,蓄电池宝可梦,0.5m,10.5kg,120,"['57', '82', '95', '55', '75', '36', '400']"
