排名,书籍,封面,作者,时间,时间（无月日）,出版社,评分,评价人数（人）,售价（元）
1,红楼梦,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,[清] 曹雪芹 著 ,1996-12,1996, 人民文学出版社 ,9.6,414826,59.70
2,活着,https://img1.doubanio.com/view/subject/s/public/s29053580.jpg,余华 ,2012-8-1,2012, 作家出版社 ,9.4,809252,20.00
3,1984,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,[英] 乔治·奥威尔 ,2010-4-1,2010, 北京十月文艺出版社 ,9.4,276720,28.00
4,哈利·波特,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,J.K.罗琳 (J.K.Rowling) ,2008-12-1,2008, 人民文学出版社 ,9.7,100162,498.00
5,三体全集,https://img3.doubanio.com/view/subject/s/public/s30016152.jpg,刘慈欣 ,2012-1,2012, 重庆出版社 ,9.5,179209,168.00
6,百年孤独,https://img1.doubanio.com/view/subject/s/public/s27237850.jpg,[哥伦比亚] 加西亚·马尔克斯 ,2011-6,2011, 南海出版公司 ,9.3,415762,39.50
7,飘,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,[美国] 玛格丽特·米切尔 ,2000-9,2000, 译林出版社 ,9.3,208829,40.00
8,房思琪的初恋乐园,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg,林奕含 ,2018-2,2018, 北京联合出版公司 ,9.2,367996,45.00
9,动物农场,https://img1.doubanio.com/view/subject/s/public/s2347590.jpg,[英] 乔治·奥威尔 ,2007-3,2007, 上海译文出版社 ,9.3,154849,10.00
10,三国演义（全二册）,https://img3.doubanio.com/view/subject/s/public/s1076932.jpg,[明] 罗贯中 ,1998-05,1998, 人民文学出版社 ,9.3,164656,39.50
11,福尔摩斯探案全集（上中下）,https://img1.doubanio.com/view/subject/s/public/s1229240.jpg,[英] 阿·柯南道尔 ,1981-8,1981, 群众出版社 ,9.3,130703,68.00
12,白夜行,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,[日] 东野圭吾 ,2013-1-1,2013, 南海出版公司 ,9.2,460166,39.50
13,小王子,https://img3.doubanio.com/view/subject/s/public/s1103152.jpg,[法] 圣埃克苏佩里 ,2003-8,2003, 人民文学出版社 ,9.1,744383,22.00
14,安徒生童话故事集,https://img3.doubanio.com/view/subject/s/public/s1034062.jpg,（丹麦）安徒生 ,1997-08,1997, 人民文学出版社 ,9.2,129452,25.00
15,撒哈拉的故事,https://img3.doubanio.com/view/subject/s/public/s1369343.jpg,三毛 ,2003-8,2003, 哈尔滨出版社 ,9.2,168485,15.80
16,天龙八部,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,金庸 ,1994-5,1994, 生活·读书·新知三联书店 ,9.2,130625,96.00
17,呐喊,https://img9.doubanio.com/view/subject/s/public/s34099286.jpg,鲁迅 ,1973-3,1973, 人民文学出版社 ,9.2,155993,0.36
18,杀死一只知更鸟,https://img3.doubanio.com/view/subject/s/public/s23128183.jpg,[美] 哈珀·李 ,2012-9,2012, 译林出版社 ,9.2,142351,32.00
