电影,导演,主演,时间,国家,类型,评分,评价人数（人）,评语
1.肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯,1994,美国,犯罪 剧情,9.7,2954949,希望让人自由。
2.霸王别姬,陈凯歌 Kaige Chen,张国荣,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2182992,风华绝代。
3.阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯,1994,美国,剧情 爱情,9.5,2202142,一部美国近现代史。
4.泰坦尼克号,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2236639,失去的才是永恒的。 
5.这个杀手不太冷,吕克·贝松 Luc Besson,让·雷诺,1994,法国 美国,剧情 动作 犯罪,9.4,2333867,怪蜀黍和小萝莉不得不说的故事。
6.千与千寻,宫崎骏 Hayao Miyazaki,柊瑠美,2001,日本,剧情 动画 奇幻,9.4,2285856,最好的宫崎骏，最好的久石让。 
7.美丽人生,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼,1997,意大利,剧情 喜剧 爱情 战争,9.5,1350265,最美的谎言。
8.星际穿越,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1893249,爱是一种力量，让我们超越时空感知它的存在。
9.盗梦空间,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2106036,诺兰给了我们一场无法盗取的梦。
10.辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森,1993,美国,剧情 历史 战争,9.5,1140584,拯救一个人，就是拯救整个世界。
11.楚门的世界,彼得·威尔 Peter Weir,金·凯瑞,1998,美国,剧情 科幻,9.4,1754905,如果再也不能见到你，祝你早安，午安，晚安。
12.忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔,2009,美国 英国,剧情,9.4,1420286,永远都不能忘记你所爱的人。
13.海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯,1998,意大利,剧情 音乐,9.3,1707045,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14.三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1891112,英俊版憨豆，高情商版谢耳朵。
15.放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,9.3,1337366,天籁一般的童声，是最接近上帝的存在。 
16.机器人总动员,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特,2008,美国,科幻 动画 冒险,9.3,1341110,小瓦力，大人生。
17.疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,9.2,1985279,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18.无间道,刘伟强 / 麦兆辉,刘德华,2002,中国香港,剧情 犯罪 惊悚,9.3,1394343,香港电影史上永不过时的杰作。
19.控方证人,比利·怀尔德 Billy Wilder,泰隆·鲍华,1957,美国,剧情 犯罪 悬疑,9.6,582624,比利·怀德满分作品。
20.大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,周星驰,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1560555,一生所爱。
21.熔炉,黄东赫 Dong-hyuk Hwang,孔侑,2011,韩国,剧情,9.4,948053,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22.教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度,1972,美国,剧情 犯罪,9.3,988322,千万不要记恨你的对手，这样会让你失去理智。
23.触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,触不可及,2011,法国,剧情 喜剧,9.3,1143442,满满温情的高雅喜剧。
24.当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯,2006,美国,剧情 传记 家庭,9.2,1546800,平民励志片。 
25.寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,9.1,1724292,死亡不是真的逝去，遗忘才是永恒的消亡。
26.末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,907640,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27.龙猫,宫崎骏 Hayao Miyazaki,日高法子,1988,日本,动画 奇幻 冒险,9.2,1289321,人人心中都有个龙猫，童年就永远不会消失。
28.怦然心动,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔,2010,美国,剧情 喜剧 爱情,9.1,1867250,真正的幸福是来自内心深处。
29.活着,张艺谋 Yimou Zhang,葛优,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,865649,张艺谋最好的电影。
