排名,视频名,作者,IP地址,摘要,观看网址,观看次数,点赞数,收藏数,投币数,转发数
1,这场【全球审美大降级】属实给我整混乱了……,塑料叉FOKU,上海,审美水平真的下降了吗？,https://b23.tv/BV1fc41167r3,7122749,365551,102107,62916,17455
2,朋友你们帮我看看问题到底出现在哪里？,口技小青年,江苏,京中有善口技者,https://b23.tv/BV1ju4y1j7jk,6776206,457064,95215,105890,114216
3,【硬件科普】从零开始认识主板,硬件茶谈,河北,从零认识主板,https://b23.tv/BV1xQ4y1b7JS,2456443,222575,180830,144174,12482
4,满足了甲方奇怪的癖好,逗比的雀巢,四川,省流：甲方的脸都气黑了,https://b23.tv/BV1BC4y1j7dr,7998403,525147,52199,77052,13241
5,最传奇的上古帝王 | 从被虐待，到君临天下！,木鱼水心,北京,从孤苦少年，到第一位平民天子，舜帝是如何改写命运的？,https://b23.tv/BV12H4y1q7bx,1973156,214402,65656,159181,4327
6,章~鱼~哥~来~咯~,老番茄,韩国,省流：《章鱼村》,https://b23.tv/BV1Hw411K7Fx,3757717,283940,82476,127974,10998
7,当北方人第一次在南方过冬,粤知一二,广东,北方和南方不是同一种冷,https://b23.tv/BV1Gj411J76q,5740806,406621,29561,7893,5647
8,《绝区零》比利角色展示 | 骑士登场！,绝区零,上海, 欢迎来到新艾利都！,https://b23.tv/BV1tN4y1m7d5,3578796,379932,63883,71268,39371
9,《原神》过场动画-「罪人的终幕」,原神,上海,神爱众人，芙门永存,https://b23.tv/BV1vu4y1b7Y9,2867664,273326,101679,182492,25833
10,探秘中国国宴！开国第一宴！10道国宴菜！都吃什么？,HOLA小测佬,西班牙,吃国宴是一种什么样的体验,https://b23.tv/BV1Dz4y1N7XT,5373251,400652,51565,85972,10668
11,第一次去拍网红写真 没想到要穿露背装 当场崩溃,假美食po主,英国,浪浪体验拍写真,https://b23.tv/BV1Rj411j7Fq,2660681,120061,14823,43579,5164
12,这十六分钟真的能讲完你那波澜壮阔的十年吗,一张照片LOL,上海,Faker的登神之路,https://b23.tv/BV12a4y1S7GR,3486290,230870,102595,221145,52853
13,"""Cheems，你枪里装的是珍珠软糖吗？""",一大筐会飞的草莓,广东,猫和老鼠出新版了？,https://b23.tv/BV1dw411N7VG,2151866,203410,44108,34473,8404
14,3兄弟体验上海东北饺子馆菜量，被coco笑话冻死…,盗月社食遇记,上海,上海东北菜大测评,https://b23.tv/BV1CH4y127gA,2576285,148278,19049,87198,7132
15,红魔9Pro上手体验：教科书级游戏性能,极客湾Geekerwan,上海,红魔9Pro都有哪些亮点？,https://b23.tv/BV14M411f7R7,1853022,91847,8380,14127,14206
